"Weight.class","Winner","Loser","Method","Round","Time","Method.details"
"Lightweight","John Makdessi","Renee Forte","KO","1","2:01","(punches)"
"Lightweight","Michel Prazeres","Jesse Ronson","Decision","3","5:00","(split) (28–29, 29–28, 29–28)"
"Bantamweight","Alex Caceres","Roland Delorme","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Heavyweight","Daniel Omielańczuk","Nandor Guelmino","KO","3","3:18","(punch)"
"Light Heavyweight","Glover Teixeira","Ryan Bader","TKO","1","2:55","(punches)"
"Middleweight","Ronaldo Souza","Yushin Okami","TKO","1","2:47","(punches)"
"Flyweight","Joseph Benavidez","Jussier Formiga","TKO","1","3:07","(knee to the body and punches)"
"Lightweight","Piotr Hallmann","Francisco Trinaldo","Submission","2","3:50","(kimura)"
"Middleweight","Rafael Natal","Tor Troéng","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Flyweight","Ali Bagautinov","Marcos Vinicius","TKO","3","3:28","(punches)"
"Featherweight","Kevin Souza","Felipe Arantes","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Bantamweight","Lucas Martins","Junior Hernandez","Submission","1","1:10","Technical  (rear-naked choke)"
"Welterweight","Elias Silvério","João Zeferino","Decision","3","5:00","(unanimous) (29–28, 30–27, 30–27)"
"Welterweight","Ivan Jorge","Keith Wisniewski","Decision","3","5:00","(unanimous) (29–28, 30–27, 29–28)"
"Welterweight","Sean Spencer","Yuri Villefort","Decision","3","5:00","(split) (30–27, 28–29, 29–28)"
"Lightweight","Anthony Pettis","Benson Henderson (c)","Submission","1","4:31","Verbal  (armbar)"
"Heavyweight","Josh Barnett","Frank Mir","TKO","1","1:56","(knees)"
"Featherweight","Chad Mendes","Clay Guida","TKO","3","0:30","(punches)"
"Heavyweight","Ben Rothwell","Brandon Vera","TKO","3","1:54","(punches)"
"Featherweight","Dustin Poirier","Erik Koch","Decision","3","5:00","(unanimous) (29–28, 29–27, 29–27)"
"Lightweight","Gleison Tibau","Jamie Varner","Decision","3","5:00","(split) (29–28, 27–29, 29–28)"
"Flyweight","Tim Elliott","Louis Gaudinot","Decision","3","5:00","(unanimous) (30–27, 30–26, 30–26)"
"Welterweight","Hyun Gyu Lim","Pascal Krauss","KO","1","3:58","(knee and punches)"
"Bantamweight","Chico Camus","Kyung Ho Kang","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Heavyweight","Soa Palelei","Nikita Krylov","TKO","3","1:34","(punches)"
"Lightweight","Al Iaquinta","Ryan Couture","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Magnus Cedenblad","Jared Hamman","Submission","1","0:57","(guillotine choke)"
"Welterweight","Carlos Condit","Martin Kampmann","TKO","4","0:54","(punches and knees)"
"Lightweight","Rafael dos Anjos","Donald Cerrone","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Kelvin Gastelum","Brian Melancon","Submission","1","2:26","(rear-naked choke)"
"Welterweight","Court McGee","Robert Whittaker","Decision","3","5:00","(split) (30–27, 27–30, 29–28)"
"Bantamweight","Takeya Mizugaki","Erik Perez","Decision","3","5:00","(split) (28–29, 29–28, 29–28)"
"Middleweight","Brad Tavares","Robert McDaniel","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Middleweight","Dylan Andrews","Papy Abedi","KO","3","1:32","(punches)"
"Welterweight","Brandon Thatch","Justin Edwards","TKO","1","1:23","(knees and punches)"
"Featherweight","Darren Elkins","Hatsu Hioki","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Jason High","James Head","Submission","1","1:41","(guillotine choke)"
"Welterweight","Zak Cummings","Ben Alloway","Submission","1","4:19","(D'Arce choke)"
"Lightweight","Roger Bowling","Abel Trujillo","No Contest","2","4:57","(illegal knee)"
"Light Heavyweight","Chael Sonnen","Mauricio Rua","Submission","1","4:47","(guillotine choke)"
"Heavyweight","Travis Browne","Alistair Overeem","KO","1","4:08","(front kick and punches)"
"Bantamweight","Urijah Faber","Iuri Alcantara","Decision","3","5:00","(unanimous) (30–26, 30–26, 30–27)"
"Welterweight","Matt Brown","Mike Pyle","KO","1","0:29","(punches)"
"Middleweight","John Howard","Uriah Hall","Decision","3","5:00","(split) (30–27, 29–28, 28–29)"
"Lightweight","Michael Johnson","Joe Lauzon","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–25)"
"Bantamweight","Michael McDonald","Brad Pickett","Submission","2","3:43","(triangle choke)"
"Featherweight","Conor McGregor","Max Holloway","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–26)"
"Featherweight","Steven Siler","Mike Brown","KO","1","0:50","(punches)"
"Featherweight","Diego Brandao","Daniel Pineda","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Featherweight","Manvel Gamburyan","Cole Miller","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28)"
"Light Heavyweight","Ovince Saint Preux","Cody Donovan","KO","1","2:07","(punches)"
"Lightweight","James Vick","Ramsey Nijem","Submission","1","0:58","(guillotine choke)"
"Featherweight","José Aldo (c)","Chan Sung Jung","TKO","4","2:00","(punches)"
"Light Heavyweight","Phil Davis","Lyoto Machida","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Middleweight","Cezar Ferreira","Thiago Santos","Submission","1","0:47","(guillotine choke)"
"Middleweight","Thales Leites","Tom Watson","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Catchweight (129 lbs)","John Lineker","José Maria Tomé","TKO","2","1:03","(punches)"
"Light Heavyweight","Anthony Perosh","Vinny Magalhães","KO","1","0:14","(punches)"
"Women's Bantamweight","Amanda Nunes","Sheila Gaff","TKO","1","2:08","(elbows)"
"Welterweight","Sergio Moraes","Neil Magny","Submission","1","3:13","(triangle choke)"
"Flyweight","Ian McCall","Iliarde Santos","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Featherweight","Rani Yahya","Josh Clopton","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Light Heavyweight","Francimar Barroso","Ednaldo Oliveira","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Welterweight","Viscardi Andrade","Bristol Marunde","TKO","1","1:36","(punches)"
"Flyweight","Demetrious Johnson (c)","John Moraga","Submission","5","3:43","(armbar)"
"Welterweight","Rory MacDonald","Jake Ellenberger","Decision","3","5:00","(unanimous) (30–27, 29–28, 30–27)"
"Welterweight","Robbie Lawler","Bobby Voelker","KO","2","0:24","(head kick and punches)"
"Women's Bantamweight","Liz Carmouche","Jéssica Andrade","TKO","2","3:57","(punches and elbows)"
"Lightweight","Jorge Masvidal","Michael Chiesa","Submission","2","4:59","(D'Arce choke)"
"Catchweight (160 lbs)","Danny Castillo","Tim Means","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Melvin Guillard","Mac Danzig","KO","2","2:47","(punches)"
"Lightweight","Daron Cruickshank","Yves Edwards","Decision","3","5:00","(split) (30–27, 27–30, 30–27)"
"Middleweight","Ed Herman","Trevor Smith","Decision","3","5:00","(split) (30–27, 27–30, 29–28)"
"Women's Bantamweight","Germaine de Randamie","Julie Kedzie","Decision","3","5:00","(split) (30–27, 28–29, 29–28)"
"Lightweight","Justin Salas","Aaron Riley","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Catchweight (137 lbs)","Yaotzin Meza","John Albert","Submission","2","2:49","(rear-naked choke)"
"Middleweight","Chris Weidman","Anderson Silva (c)","KO","2","1:18","(punches)"
"Featherweight","Frankie Edgar","Charles Oliveira","Decision","3","5:00","(unanimous) (30–27, 29–28, 30–27)"
"Middleweight","Tim Kennedy","Roger Gracie","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Middleweight","Mark Muñoz","Tim Boetsch","Decision","3","5:00","(unanimous) (30–26, 30–27, 29–28)"
"Featherweight","Cub Swanson","Dennis Siver","TKO","3","2:24","(punches)"
"Middleweight","Andrew Craig","Chris Leben","Decision","3","5:00","(split) (29–28, 28–29, 30–27)"
"Lightweight","Norman Parke","Kazuki Tokudome","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Heavyweight","Gabriel Gonzaga","Dave Herman","KO","1","0:17","(punches)"
"Lightweight","Edson Barboza","Rafaello Oliveira","TKO","2","1:44","(leg kicks)"
"Welterweight","Brian Melancon","Seth Baczynski","KO","1","4:59","(punches)"
"Welterweight","Mike Pierce","David Mitchell","TKO","2","2:55","(punches)"
"Light Heavyweight","Rashad Evans","Dan Henderson","Decision","3","5:00","(split) (28–29, 29–28, 29–28)"
"Heavyweight","Stipe Miocic","Roy Nelson","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Light Heavyweight","Ryan Jimmo","Igor Pokrajac","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Women's Bantamweight","Alexis Davis","Rosi Sexton","Decision","3","5:00","(unanimous) (29–28, 29–27, 29–28)"
"Heavyweight","Shawn Jordan","Pat Barry","TKO","1","0:59","(punches)"
"Welterweight","Jake Shields","Tyron Woodley","Decision","3","5:00","(split) (27–30, 29–28, 29–28)"
"Lightweight","James Krause","Sam Stout","Submission","3","4:47","(guillotine choke)"
"Welterweight","Sean Pierson","Kenny Robertson","Decision","3","5:00","(majority) (29–28, 29–28, 28–28)"
"Bantamweight","Roland Delorme","Edwin Figueroa","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Mitch Clarke","John Maguire","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Bantamweight","Yves Jabouin","Dustin Pague","Decision","3","5:00","(split) (28–29, 29–28, 29–28)"
"Heavyweight","Fabrício Werdum","Antônio Rodrigo Nogueira","Submission","2","2:41","(armbar)"
"Welterweight","Leonardo Santos","William Macário","Submission","2","4:43","(arm-triangle choke)"
"Light Heavyweight","Thiago Silva","Rafael Cavalcante","KO","1","4:29","(punches)"
"Welterweight","Erick Silva","Jason High","Submission","1","1:11","(reverse triangle armbar)"
"Middleweight","Daniel Sarafian","Eddie Mendez","Submission","1","2:20","(arm-triangle choke)"
"Featherweight","Rony Mariano Bezerra","Mike Wilkinson","Submission","1","1:24","Technical  (triangle choke)"
"Bantamweight","Raphael Assunção","Vaughan Lee","Submission","2","1:51","(armbar)"
"Featherweight","Felipe Arantes","Godofredo Pepey","TKO","1","3:32","(elbows and punches)"
"Welterweight","Ildemar Alcantara","Leandro Silva","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Featherweight","Rodrigo Damm","Mizuto Hirota","Decision","3","5:00","(split) (28–29, 29–28, 29–28)"
"Middleweight","Caio Magalhaes","Karlos Vemola","Submission","2","2:49","(rear-naked choke)"
"Middleweight","Antonio Braga Neto","Anthony Smith","Submission","1","1:52","(kneebar)"
"Heavyweight","Cain Velasquez (c)","Antônio Silva","TKO","1","1:21","(punches)"
"Heavyweight","Junior dos Santos","Mark Hunt","KO","3","4:18","(spinning hook kick)"
"Light Heavyweight","Glover Teixeira","James Te Huna","Submission","1","2:38","(guillotine choke)"
"Lightweight","TJ Grant","Gray Maynard","TKO","1","2:07","(knee & punches)"
"Lightweight","Donald Cerrone","K.J. Noons","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–26)"
"Welterweight","Mike Pyle","Rick Story","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Featherweight","Dennis Bermudez","Max Holloway","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Welterweight","Robert Whittaker","Colton Smith","TKO","3","0:41","(punches)"
"Catchweight (158.5 lbs)","Khabib Nurmagomedov","Abel Trujillo","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Stephen Thompson","Nah-Shon Burrell","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28)"
"Bantamweight","George Roop","Brian Bowles","TKO","2","1:43","(punches)"
"Featherweight","Jeremy Stephens","Estevan Payan","Decision","3","5:00","(unanimous) (30–26, 30–26, 30–27)"
"Middleweight","Vitor Belfort","Luke Rockhold","KO","1","2:32","(spinning heel kick and punches)"
"Middleweight","Ronaldo Souza","Chris Camozzi","Submission","1","3:37","Technical  (arm-triangle choke)"
"Lightweight","Rafael dos Anjos","Evan Dunham","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Middleweight","Rafael Natal","João Zeferino","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28)"
"Featherweight","Nik Lentz","Hacran Dias","Decision","3","5:00","(unanimous) (29–28, 29–28, 28–27)"
"Lightweight","Francisco Trinaldo","Mike Rio","Submission","1","3:08","(arm-triangle choke)"
"Lightweight","Gleison Tibau","John Cholish","Submission","2","2:34","(guillotine choke)"
"Welterweight","Paulo Thiago","Michel Prazeres","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Bantamweight","Iuri Alcantara","Iliarde Santos","KO","1","2:31","(punches)"
"Light Heavyweight","Fabio Maldonado","Roger Hollett","Decision","3","5:00","(unanimous) (29–27, 29–28, 29–27)"
"Flyweight","John Lineker","Azamat Gashimov","TKO","2","1:07","(punches)"
"Flyweight","Jussier Formiga","Chris Cariaso","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Lucas Martins","Jeremy Larsen","KO","3","0:13","(punch)"
"Light Heavyweight","Jon Jones (c)","Chael Sonnen","TKO","1","4:33","(punches & elbows)"
"Middleweight","Michael Bisping","Alan Belcher","Decision","3","4:29","Technical  (unanimous) (30–27, 30–27, 29–28)"
"Heavyweight","Roy Nelson","Cheick Kongo","KO","1","2:03","(punches)"
"Light Heavyweight","Phil Davis","Vinny Magalhaes","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Lightweight","Pat Healy","Jim Miller","No Contest","3","4:02","(overturned)"
"Lightweight","Rustam Khabilov","Yancy Medeiros","TKO","1","2:32","(thumb injury)"
"Light Heavyweight","Ovince Saint Preux","Gian Villante","Decision","3","0:33","Technical  (majority) (30–28, 30–29, 29–29)"
"Women's Bantamweight","Sara McMann","Sheila Gaff","TKO","1","4:06","(punches)"
"Bantamweight","Bryan Caraway","Johnny Bedford","Submission","3","4:44","(guillotine choke)"
"Featherweight","Cody McKenzie","Leonard Garcia","Decision","3","5:00","(unanimous) (29–28, 30–27, 30–27)"
"Featherweight","Steven Siler","Kurt Holobaugh","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Benson Henderson","Gilbert Melendez","Decision","5","5:00","(split) (47–48, 48–47, 48–47)"
"Heavyweight","Daniel Cormier","Frank Mir","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Josh Thomson","Nate Diaz","TKO","2","3:44","(head kick and punches)"
"Welterweight","Matt Brown","Jordan Mein","TKO","2","1:00","(elbows to the body)"
"Featherweight","Chad Mendes","Darren Elkins","TKO","1","1:08","(punches)"
"Middleweight","Francis Carmont","Lorenz Larkin","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Myles Jury","Ramsey Nijem","KO","2","1:02","(punch)"
"Flyweight","Joseph Benavidez","Darren Uyenoyama","TKO","2","4:50","(body kick and punches)"
"Lightweight","Jorge Masvidal","Tim Means","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Bantamweight","T.J. Dillashaw","Hugo Viana","TKO","1","4:22","(punches)"
"Lightweight","Anthony Njokuani","Roger Bowling","KO","2","2:52","(punch)"
"Middleweight","Yoel Romero","Clifford Starks","KO","1","1:32","(flying knee and punches)"
"Bantamweight","Urijah Faber","Scott Jorgensen","Submission","4","3:16","(rear-naked choke)"
"Middleweight","Kelvin Gastelum","Uriah Hall","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Women's Bantamweight","Cat Zingano","Miesha Tate","TKO","3","2:55","(knees and elbow)"
"Heavyweight","Travis Browne","Gabriel Gonzaga","KO","1","1:11","(elbows)"
"Middleweight","Robert McDaniel","Gilbert Smith","Submission","3","2:49","(triangle armbar)"
"Middleweight","Josh Samman","Kevin Casey","TKO","2","2:17","(knees)"
"Middleweight","Luke Barnatt","Collin Hart","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Middleweight","Dylan Andrews","Jimmy Quinlan","TKO","1","3:22","(punches)"
"Middleweight","Clint Hester","Bristol Marunde","KO","3","3:53","(elbow)"
"Featherweight","Cole Miller","Bart Palaszewski","Submission","1","4:23","(rear-naked choke)"
"Featherweight","Maximo Blanco","Sam Sicilia","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Featherweight","Daniel Pineda","Justin Lawrence","Submission","1","1:35","(kimura)"
"Light Heavyweight","Gegard Mousasi","Ilir Latifi","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Ross Pearson","Ryan Couture","TKO","2","3:45","(punches)"
"Heavyweight","Matt Mitrione","Phil De Fries","KO","1","0:19","(punches)"
"Bantamweight","Brad Pickett","Mike Easton","Decision","3","5:00","(split) (30–27, 28–29, 30–27)"
"Featherweight","Diego Brandão","Pablo Garza","Submission","1","3:27","(arm-triangle choke)"
"Featherweight","Akira Corassani","Robbie Peralta","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Lightweight","Reza Madadi","Michael Johnson","Submission","3","1:33","(D'Arce choke)"
"Middleweight","Tor Troéng","Adam Cella","Submission","1","3:11","(rear-naked choke)"
"Welterweight","Adlan Amagov","Chris Spång","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Featherweight","Conor McGregor","Marcus Brimage","TKO","1","1:07","(punches)"
"Welterweight","Ryan LaFlare","Ben Alloway","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Tom Lawlor","Michael Kuiper","Submission","2","1:05","(guillotine choke)"
"Welterweight","Papy Abedi","Besaam Yousef","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Welterweight","Georges St-Pierre (c)","Nick Diaz","Decision","5","5:00","(unanimous) (50–45, 50–45, 50–45)"
"Welterweight","Johny Hendricks","Carlos Condit","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Jake Ellenberger","Nate Marquardt","KO","1","3:00","(punches)"
"Middleweight","Chris Camozzi","Nick Ring","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Lightweight","Mike Ricci","Colin Fletcher","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Patrick Côté","Bobby Voelker","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
